year,production
1950,5.16
1951,5.03
1952,4.73
1953,5.37
1954,6.4
1955,5.73
1956,6.36
1957,6.35
1958,7.3
1959,6.56
1960,6.98
1961,7.28
1962,7.39
1963,7.13
1964,8.56
1965,6.4
1966,6.43
1967,8.3
1968,6.85
1969,7.73
1970,9.63
1971,9.08
1972,7.14
1973,9.39
1974,9.15
1975,10.61
1976,8.43
1977,9.66
1978,10.1
1979,8.74
1980,9.37
1981,12.08
1982,10
1983,12.69
1984,12.95
1985,10.83
1986,11.27
1987,12.65
1988,18.03
1989,16.92
1990,18.61
1991,18.6
1992,20.11
1993,21.5
1994,21.34
1995,22.11
1996,24.38
1997,21.32
1998,24.75
1999,20.71
2000,18.44
2001,20.66
2002,14.84
2003,25.19
2004,24.35
2005,27.98
2006,24.29
2007,29.76
2008,27.72
2009,24.88
2010,32.48
2011,29.8
2012,30.94
2013,32.75
2014,27.51
2015,25.25
2016,31.28
2017,31.46
2018,31.52
2019,33.42
